date,prot_ter,prot_terdum,prot_us,prot_usdum,jihad,tvideo,zarb,zarb,ghazwa,usefp,usaid,usimmi
17193,0,0,0,0,0,0,0,0,0,0,0,0
17194,0,0,0,0,0,0,0,0,0,0,0,0
17195,0,0,0,0,83,0,0,0,0,0,0,0
17196,0,0,2,1,0,0,0,0,0,0,0,0
17197,0,0,0,0,0,0,0,0,0,0,0,0
17198,0,0,0,0,0,0,0,0,0,0,0,0
17199,0,0,0,0,0,0,0,0,0,0,0,0
17200,0,0,0,0,69,0,0,0,0,0,0,0
17201,0,0,0,0,0,0,0,0,0,0,0,0
17202,0,0,0,0,77,0,0,0,0,0,0,51
17203,0,0,0,0,0,0,100,100,0,0,0,0
17204,0,0,2,1,0,0,0,0,0,0,0,0
17205,0,0,0,0,0,0,0,0,0,0,0,0
17206,0,0,0,0,0,0,0,0,0,0,0,0
17207,0,0,0,0,0,0,0,0,0,0,0,0
17208,0,0,0,0,0,0,0,0,0,0,66,0
17209,0,0,0,0,0,0,0,0,0,0,0,0
17210,0,0,0,0,0,0,0,0,0,0,0,0
17211,0,0,0,0,60,0,0,0,0,0,48,0
17212,0,0,0,0,59,0,0,0,0,0,0,0
17213,0,0,0,0,0,0,0,0,0,0,51,0
17214,0,0,0,0,0,0,0,0,0,0,0,0
17215,0,0,0,0,0,0,0,0,0,0,0,0
17216,0,0,0,0,0,0,0,0,0,0,0,42
17217,0,0,0,0,61,0,0,0,0,0,0,0
17218,0,0,0,0,0,0,0,0,0,0,100,0
17219,0,0,0,0,59,0,0,0,0,0,0,0
17220,0,0,0,0,0,0,0,0,0,0,0,0
17221,0,0,0,0,0,0,0,0,0,0,0,0
17222,0,0,0,0,0,0,0,0,0,0,0,0
17223,0,0,0,0,0,0,0,0,0,0,0,0
17224,0,0,1,1,60,0,0,0,0,0,0,42
17225,0,0,0,0,0,0,0,0,0,0,0,0
17226,0,0,0,0,58,0,0,0,0,0,0,0
17227,0,0,3,1,0,0,0,0,0,0,0,0
17228,0,0,3,1,65,0,0,0,0,0,0,0
17229,0,0,0,0,0,0,0,0,0,0,0,0
