date,drones,drone_naf,target1,target3,unknown,unknown2,mil_act,ramadan
18128,0,0,0,0,0,0,1,0
18129,0,0,0,0,0,0,2,0
18130,1,1,0,0,1,1,1,0
18131,0,0,0,0,0,0,3,1
18132,0,0,0,0,0,0,1,1
18133,0,0,0,0,0,0,1,1
18134,0,0,0,0,0,0,2,1
18135,0,0,0,0,0,0,2,1
18136,1,1,0,1,1,0,4,1
18137,0,0,0,0,0,0,0,1
18138,0,0,0,0,0,0,4,1
18139,0,0,0,0,0,0,3,1
18140,0,0,0,0,0,0,5,1
18141,0,0,0,0,0,0,3,1
18142,0,0,0,0,0,0,3,1
18143,0,0,0,0,0,0,2,1
18144,0,0,0,0,0,0,2,1
18145,0,0,0,0,0,0,4,1
18146,0,0,0,0,0,0,2,1
18147,1,1,0,0,1,1,3,1
18148,1,1,1,0,0,1,3,1
18149,0,0,0,0,0,0,4,1
18150,0,0,0,0,0,0,2,1
18151,0,0,0,0,0,0,1,1
18152,0,0,0,0,0,0,4,1
18153,0,0,0,0,0,0,3,1
18154,1,1,0,1,1,0,3,1
18155,0,0,0,0,0,0,2,1
18156,0,0,0,0,0,0,4,1
18157,0,0,0,0,0,0,3,1
18158,0,0,0,0,0,0,0,1
18159,0,0,0,0,0,0,3,1
18160,0,0,0,0,0,0,2,0
18161,0,0,0,0,0,0,0,0
18162,0,0,0,0,0,0,0,0
18163,0,0,0,0,0,0,6,0
18164,1,1,0,0,1,1,2,0
18165,0,0,0,0,0,0,1,0
18166,0,0,0,0,0,0,3,0
18167,0,0,0,0,0,0,1,0
18168,0,0,0,0,0,0,3,0
18169,2,2,1,0,1,2,5,0
18170,1,1,0,0,1,1,5,0
18171,0,0,0,0,0,0,5,0
18172,0,0,0,0,0,0,2,0
18173,0,0,0,0,0,0,3,0
18174,0,0,0,0,0,0,2,0
18175,0,0,0,0,0,0,1,0
18176,0,0,0,0,0,0,3,0
18177,0,0,0,0,0,0,8,0
18178,0,0,0,0,0,0,5,0
18179,0,0,0,0,0,0,7,0
18180,0,0,0,0,0,0,0,0
18181,0,0,0,0,0,0,2,0
18182,0,0,0,0,0,0,1,0
18183,0,0,0,0,0,0,0,0
18184,0,0,0,0,0,0,6,0
18185,1,1,0,0,1,1,4,0
18186,0,0,0,0,0,0,1,0
18187,0,0,0,0,0,0,4,0
18188,0,0,0,0,0,0,1,0
18189,0,0,0,0,0,0,3,0
18190,0,0,0,0,0,0,2,0
18191,1,1,0,1,1,0,6,0
18192,0,0,0,0,0,0,2,0
18193,0,0,0,0,0,0,2,0
18194,1,1,1,0,0,1,4,0
18195,0,0,0,0,0,0,3,0
18196,0,0,0,0,0,0,1,0
18197,0,0,0,0,0,0,1,0
18198,0,0,0,0,0,0,2,0
18199,0,0,0,0,0,0,1,0
18200,0,0,0,0,0,0,2,0
18201,0,0,0,0,0,0,3,0
18202,0,0,0,0,0,0,0,0
18203,0,0,0,0,0,0,6,0
18204,0,0,0,0,0,0,3,0
18205,0,0,0,0,0,0,5,0
18206,1,1,1,0,0,1,0,0
18207,0,0,0,0,0,0,4,0
18208,0,0,0,0,0,0,5,0
18209,0,0,0,0,0,0,6,0
18210,0,0,0,0,0,0,5,0
18211,0,0,0,0,0,0,5,0
18212,0,0,0,0,0,0,5,0
18213,0,0,0,0,0,0,6,0
18214,0,0,0,0,0,0,3,0
18215,0,0,0,0,0,0,7,0
18216,0,0,0,0,0,0,3,0
18217,0,0,0,0,0,0,4,0
18218,0,0,0,0,0,0,2,0
18219,1,1,0,0,1,1,9,0
18220,0,0,0,0,0,0,5,0
18221,1,1,0,0,1,1,1,0
18222,0,0,0,0,0,0,4,0
18223,0,0,0,0,0,0,6,0
18224,0,0,0,0,0,0,6,0
18225,0,0,0,0,0,0,8,0
18226,0,0,0,0,0,0,6,0
18227,0,0,0,0,0,0,6,0
18228,0,0,0,0,0,0,1,0
18229,0,0,0,0,0,0,0,0
18230,0,0,0,0,0,0,0,0
18231,0,0,0,0,0,0,3,0
18232,0,0,0,0,0,0,3,0
18233,0,0,0,0,0,0,10,0
18234,0,0,0,0,0,0,3,0
18235,0,0,0,0,0,0,2,0
18236,0,0,0,0,0,0,8,0
18237,0,0,0,0,0,0,6,0
18238,0,0,0,0,0,0,4,0
18239,1,1,0,1,1,0,0,0
18240,0,0,0,0,0,0,6,0
18241,1,0,0,0,0,0,4,0
18242,0,0,0,0,0,0,6,0
18243,0,0,0,0,0,0,5,0
18244,0,0,0,0,0,0,2,0
18245,0,0,0,0,0,0,4,0
18246,0,0,0,0,0,0,8,0
18247,0,0,0,0,0,0,2,0
18248,2,2,0,1,2,1,3,0
18249,1,1,0,0,1,1,2,0
18250,0,0,0,0,0,0,7,0
18251,0,0,0,0,0,0,2,0
18252,0,0,0,0,0,0,6,0
18253,0,0,0,0,0,0,4,0
18254,0,0,0,0,0,0,6,0
18255,0,0,0,0,0,0,3,0
18256,0,0,0,0,0,0,4,0
18257,1,1,1,0,0,1,2,0
18258,0,0,0,0,0,0,3,0
18259,0,0,0,0,0,0,0,0
18260,0,0,0,0,0,0,6,0
18261,0,0,0,0,0,0,4,0
18262,1,1,1,1,0,0,0,0
18263,1,1,0,0,1,1,1,0
18264,0,0,0,0,0,0,0,0
18265,1,1,1,0,0,1,7,0
18266,0,0,0,0,0,0,3,0
18267,0,0,0,0,0,0,2,0
18268,2,1,0,0,1,1,3,0
18269,0,0,0,0,0,0,4,0
18270,1,1,1,0,0,1,2,0
18271,2,1,0,1,1,0,1,0
18272,0,0,0,0,0,0,1,0
18273,0,0,0,0,0,0,3,0
18274,0,0,0,0,0,0,1,0
18275,0,0,0,0,0,0,3,0
18276,0,1,0,0,1,1,0,0
18277,2,2,1,0,1,2,2,0
18278,0,0,0,0,0,0,1,0
18279,1,1,0,1,1,0,2,0
18280,0,0,0,0,0,0,1,0
18281,1,1,0,0,1,1,3,0
18282,0,0,0,0,0,0,0,0
18283,0,0,0,0,0,0,2,0
18284,0,0,0,0,0,0,5,0
18285,0,0,0,0,0,0,1,0
18286,0,0,0,0,0,0,7,0
18287,0,0,0,0,0,0,4,0
18288,0,0,0,0,0,0,5,0
18289,0,0,0,0,0,0,0,0
18290,0,0,0,0,0,0,0,0
18291,1,1,0,0,1,1,2,0
18292,0,0,0,0,0,0,2,0
18293,0,0,0,0,0,0,1,0
18294,0,0,0,0,0,0,3,0
18295,4,4,0,0,4,4,2,0
18296,0,0,0,0,0,0,4,0
18297,0,0,0,0,0,0,2,0
18298,0,0,0,0,0,0,3,0
18299,0,0,0,0,0,0,2,0
18300,0,0,0,0,0,0,2,0
18301,0,0,0,0,0,0,2,0
18302,0,0,0,0,0,0,7,0
18303,0,0,0,0,0,0,0,0
18304,0,0,0,0,0,0,3,0
18305,0,0,0,0,0,0,4,0
18306,0,0,0,0,0,0,4,0
18307,1,1,1,0,0,1,0,0
18308,1,1,0,0,1,1,0,0
18309,0,0,0,0,0,0,2,0
18310,1,1,0,1,1,0,0,0
18311,1,1,0,1,1,0,2,0
18312,0,0,0,0,0,0,5,0
18313,0,0,0,0,0,0,5,0
18314,0,0,0,0,0,0,4,0
18315,0,0,0,0,0,0,2,0
18316,0,0,0,0,0,0,4,0
18317,1,1,1,1,0,0,0,0
18318,0,0,0,0,0,0,3,0
18319,0,0,0,0,0,0,6,0
18320,0,0,0,0,0,0,0,0
18321,0,0,0,0,0,0,5,0
18322,0,0,0,0,0,0,2,0
18323,0,0,0,0,0,0,1,0
18324,0,0,0,0,0,0,2,0
18325,0,0,0,0,0,0,3,0
18326,0,0,0,0,0,0,2,0
18327,0,0,0,0,0,0,1,0
18328,0,0,0,0,0,0,1,0
18329,1,1,0,1,1,0,0,0
18330,0,0,0,0,0,0,2,0
18331,2,1,0,0,1,1,0,0
18332,0,0,0,0,0,0,0,0
18333,0,0,0,0,0,0,0,0
18334,0,0,0,0,0,0,0,0
18335,0,0,0,0,0,0,1,0
18336,0,0,0,0,0,0,1,0
18337,1,1,1,0,0,1,2,0
18338,2,2,2,0,0,2,2,0
18339,0,0,0,0,0,0,0,0
18340,0,0,0,0,0,0,2,0
18341,0,0,0,0,0,0,2,0
18342,1,1,0,0,1,1,2,0
18343,0,0,0,0,0,0,2,0
18344,1,1,0,0,1,1,0,0
18345,0,0,0,0,0,0,1,0
18346,0,0,0,0,0,0,3,0
18347,0,0,0,0,0,0,0,0
18348,1,0,0,0,0,0,1,0
18349,0,1,0,0,1,1,0,0
18350,0,0,0,0,0,0,0,0
18351,0,0,0,0,0,0,2,0
18352,1,1,0,0,1,1,1,0
18353,0,0,0,0,0,0,3,0
18354,0,0,0,0,0,0,3,0
18355,0,0,0,0,0,0,2,0
18356,0,0,0,0,0,0,4,0
18357,0,0,0,0,0,0,2,0
18358,0,0,0,0,0,0,2,0
18359,0,0,0,0,0,0,0,0
18360,0,0,0,0,0,0,0,0
18361,0,0,0,0,0,0,3,0
18362,0,0,0,0,0,0,3,0
18363,0,0,0,0,0,0,3,0
18364,1,1,1,0,0,1,1,0
18365,0,0,0,0,0,0,1,0
18366,1,1,0,0,1,1,0,0
18367,0,0,0,0,0,0,3,0
18368,1,1,0,0,1,1,1,0
18369,0,0,0,0,0,0,2,0
18370,0,0,0,0,0,0,1,0
18371,0,0,0,0,0,0,0,0
18372,0,0,0,0,0,0,0,0
18373,0,0,0,0,0,0,0,0
18374,0,0,0,0,0,0,1,0
18375,0,0,0,0,0,0,1,0
18376,1,1,0,0,1,1,6,0
18377,0,0,0,0,0,0,5,0
18378,1,1,0,0,1,1,3,0
18379,0,0,0,0,0,0,5,0
18380,0,0,0,0,0,0,1,0
18381,0,0,0,0,0,0,2,0
18382,0,0,0,0,0,0,5,0
18383,0,0,0,0,0,0,6,0
18384,0,0,0,0,0,0,2,0
18385,1,1,0,0,1,1,1,0
18386,0,0,0,0,0,0,1,0
18387,0,0,0,0,0,0,0,0
18388,0,0,0,0,0,0,4,0
